"rowname","Especie","Long","Lat","BD","colecta","bio01","bio02","bio03","bio04","bio05","bio06","bio07","bio08","bio09","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","prub","env_group","env_group_2","env_group_3"
"42","albilanata",-99.517937,18.669898,"gbif",NA,224,142,66,1690,338,124,214,226,207,248,204,1106,243,4,105,685,21,94,33,3.14208010980724,-4.54970059795661,2.43040044795476,-1.40286955133587,0.925167840246816,2.36337661433343,0.157000433637035,0.55431960719375,-1.79352397334289,-0.37905089451915,0.481551161421323,0.0170464323905522,0.241517754909894,-0.281167479548486,0.0790258437473868,-0.147874604471248,0.02236274455609,-0.0443284231067568,-0.0538770655671311,"Albilanata","Albilanata","Albilanata","Albilanata"
"43","albilanata",-99.492187,18.672593,"gbif",NA,235,154,67,1803,353,125,228,239,215,259,212,1014,231,3,107,641,18,83,27,4.14528242364178,-4.45208614705082,0.863120210100942,-0.946727852571309,0.300289492951657,2.45101494425159,-0.00522379503002041,0.538553865439822,-1.84902266532318,-0.359991020952643,0.433098344595376,0.0456067124942803,0.25605014668773,-0.287778194150972,-0.0235424326087632,-0.138474656148433,0.0293058907258102,-0.0430306766808958,-0.020548256720309,"Albilanata","Albilanata","Albilanata","Albilanata"
"44","albilanata",-99.499741,18.694616,"gbif",NA,215,136,66,1610,324,119,205,216,198,238,196,1124,242,5,103,683,25,102,35,2.20660621530327,-4.22837030576936,3.31120485834546,-1.47373227468052,1.05010786212311,2.25108427787431,0.139654358187448,0.51402875172612,-1.77275584863697,-0.222888044164782,0.430981324585809,0.00611410097605208,0.204936409448758,-0.247347577736635,0.123465320995381,-0.117278236330177,0.0595062571443922,-0.0354640860832144,-0.0562225904142951,"Albilanata","Albilanata","Albilanata","Albilanata"
"45","albilanata",-99.510319,18.668412,"gbif",NA,236,158,67,1852,356,123,233,242,215,261,212,1030,230,4,107,649,19,83,27,4.08991088348949,-4.61256499817341,0.448456320970034,-1.17926348988669,-0.0087558648081138,2.47163865399362,-0.112899901328032,0.381038462561069,-2.00139438619361,-0.415315785127394,0.384519689662173,-0.00765053255848928,0.231339694022129,-0.223841128210164,-0.0471522165467927,-0.125363272220584,0.0105943682473681,-0.0350758746024335,-0.0254237206637166,"Albilanata","Albilanata","Albilanata","Albilanata"
"46","albilanata",-97.271806,17.6855,"gbif",NA,143,161,70,1453,256,29,227,150,124,161,122,832,179,7,87,445,30,297,42,-4.41101322475339,-0.654199563666043,0.234635826697073,-0.397250087972056,0.870857704120429,0.161504866966862,-0.0760492761283822,-0.026325063624878,0.369197108649242,0.0684217554183094,-0.0682182826707219,-0.0231285657207134,0.0325947071865701,-0.118527398563328,0.112498352268989,-0.073729537153354,-0.0570092811743297,-0.0148274279541608,-0.00820757063203988,"Oaxacana","Oaxacana","Oaxacana","Oaxacana"
"47","albilanata",-97.245097,17.695323,"gbif",NA,137,156,70,1379,247,27,220,143,129,153,117,975,203,11,86,526,39,324,56,-5.89064084407315,-1.7602987953049,1.40046106672608,-1.07569338116545,0.382908118574333,0.268603217845961,-0.422192700964444,-0.218109404338136,0.434165622890774,-0.0168956354296788,-0.0216128841517635,-0.121709717640427,0.0292632840898988,-0.155756517905075,-0.0219198631997499,0.0759002393515473,-0.180986036547743,0.0169056509708726,0.0185443345437872,"Oaxacana","Oaxacana","Oaxacana","Oaxacana"
"48","albilanata",-99.525404,18.662347,"gbif",NA,225,142,66,1684,339,125,214,227,208,249,205,1108,243,4,105,687,21,95,32,3.21337937219726,-4.59452268635959,2.43465052529378,-1.3638096213456,0.914096947648174,2.34629940440361,0.183061956297155,0.509728130812456,-1.82610962704312,-0.34550942540098,0.467900325525893,0.0130339721132081,0.225167520295898,-0.279826253095519,0.0779916955567442,-0.14795853543995,0.021062156787872,-0.0439370630300354,-0.0541948727888784,"Albilanata","Albilanata","Albilanata","Albilanata"
"50","albilanata",-97.981396,17.5241,"gbif",NA,190,179,73,1492,305,62,243,199,168,208,168,848,167,5,93,468,23,273,23,-0.978065541329218,-2.28635950841779,-1.65997475680582,1.66295461192282,-0.731010358655874,0.539346576499543,-0.00390174590846021,-0.298640929278291,-0.359129428913257,0.122897407698573,-0.276154898506797,-0.204674077035867,-0.198225866313298,0.0417600589167795,-0.0221492011099792,0.0957459094487562,0.0381383071075597,0.00843795572232203,-0.00412143869269332,"Oaxacana","Oaxacana","Oaxacana","Oaxacana"
"51","albilanata",-96.629508,16.294656,"gbif",NA,172,134,74,926,260,81,179,175,160,183,159,1100,252,3,102,656,15,401,18,-2.33408697460029,-3.77191410342495,3.91553700538618,3.96665917757447,2.85273469902475,-1.1187217955606,-0.769797766448553,-0.12574447611782,0.00143728499892512,0.121572988149441,-0.0676622959946337,-0.142869185142988,-0.136548524848504,0.0266294824693122,-0.0201777628050275,-0.0801578637870861,0.100598608309883,0.0250401876700817,0.0258255682893514,"Oaxacana","Oaxacana","Oaxacana","Oaxacana"
"52","albilanata",-96.930951,17.439065,"gbif",NA,159,155,71,1392,268,50,218,165,142,177,139,722,162,5,92,402,20,253,28,-2.29789407856176,-0.190754437412174,0.763636954895346,0.956611315101851,0.969809766234983,0.309165022241112,-0.131199922211242,-0.208824558001628,0.17404254812005,-0.0531789726426257,0.119807012694668,-0.0390682394509211,-0.0104918085058503,-0.0846326999302494,0.0250145249955507,-0.0920049836631743,-0.0245784033800052,0.0496624876226995,-0.0121651524670012,"Oaxacana","Oaxacana","Oaxacana","Oaxacana"
