"","Especie","Long","Lat","BD","colecta","env_group_3"
"180","haageana",-97.680924,18.002938,"gbif",NA,"M_conspicua"
"181","haageana",-97.717302,18.515156,"gbif",NA,"M_conspicua"
"182","haageana",-97.511258,18.332594,"gbif",NA,"M_meissneri"
"183","haageana",-97.783292,18.487568,"gbif",NA,"M_conspicua"
"184","haageana",-97.871223,17.956656,"gbif",NA,"M_conspicua"
"185","haageana",-97.261264,17.693223,"gbif",NA,"Oaxacana"
"186","haageana",-97.267639,17.692722,"gbif",NA,"Oaxacana"
"187","haageana",-97.233056,17.677361,"gbif",NA,"Oaxacana"
"188","haageana",-97.322651,17.723944,"gbif",NA,"Oaxacana"
"189","haageana",-97.256457,17.691261,"gbif",NA,"Oaxacana"
"190","haageana",-97.923933,18.409924,"gbif",NA,"M_conspicua"
"191","haageana",-97.43129,18.361412,"gbif",NA,"M_meissneri"
"192","haageana",-97.319904,17.724639,"gbif",NA,"Oaxacana"
"193","haageana",-97.271806,17.6855,"gbif",NA,"Oaxacana"
"194","haageana",-97.435413,18.378655,"gbif",NA,"M_meissneri"
"195","haageana",-97.448889,18.346944,"gbif",NA,"M_meissneri"
"196","haageana",-97.298286,17.736653,"gbif",NA,"Oaxacana"
"197","haageana",-97.477889,18.358616,"gbif",NA,"M_conspicua"
"198","haageana",-97.249368,19.422588,"gbif",NA,"Haageana"
"199","haageana",-97.446371,18.333949,"gbif",NA,"M_meissneri"
"200","haageana",-97.626957,19.023191,"gbif",NA,"Haageana"
"201","haageana",-97.577501,18.951668,"gbif",NA,"Haageana"
"202","haageana",-97.674074,18.438081,"gbif",NA,"M_conspicua"
"203","haageana",-97.514983,18.340366,"gbif",NA,"M_meissneri"
"204","haageana",-97.239814,17.856468,"gbif",NA,"Oaxacana"
"205","haageana",-97.910265,18.22273,"gbif",NA,"Sto_domingo"
"206","haageana",-97.63291,18.286927,"gbif",NA,"M_conspicua"
"207","haageana",-97.474676,18.329232,"gbif",NA,"M_meissneri"
"208","haageana",-97.390859,18.271835,"gbif",NA,"M_conspicua"
"209","haageana",-97.64891,18.21291,"gbif",NA,"M_conspicua"
"210","haageana",-97.633786,19.020262,"gbif",NA,"Haageana"
"211","haageana",-99.173874,18.832471,"gbif",NA,"San_angelensis"
