"Especie","Lat","Long","BD","colecta"
"haageana",18.228056,-97.415278,"gbif",NA
"haageana",18.215833,-97.415,"gbif",NA
"haageana",17.936,-97.296389,"gbif",NA
"haageana",17.934361,-97.295528,"gbif",NA
"haageana",18.70227,-97.40766,"gbif",NA
"haageana",18.235833,-97.555833,"gbif",NA
"haageana",18.309444,-97.510833,"gbif",NA
"haageana",18.268056,-97.501389,"gbif",NA
"haageana",18.268611,-97.5025,"gbif",NA
"haageana",18.337222,-97.576389,"gbif",NA
"haageana",18.393889,-97.571111,"gbif",NA
"haageana",18.287222,-97.501111,"gbif",NA
"haageana",18.236667,-97.5525,"gbif",NA
"haageana",18.303333,-97.503056,"gbif",NA
"haageana",18.1875,-97.554167,"gbif",NA
"haageana",18.702222,-97.4075,"gbif",NA
"haageana",18.363889,-97.443333,"gbif",NA
"haageana",18.3625,-97.435278,"gbif",NA
"haageana",18.350833,-97.474444,"gbif",NA
"haageana",18.346694,-97.474722,"gbif",NA
"haageana",18.384722,-97.449167,"gbif",NA
"haageana",18.361389,-97.515278,"gbif",NA
"haageana",18.374722,-97.515278,"gbif",NA
"haageana",18.357222,-97.518333,"gbif",NA
"haageana",18.352778,-97.473611,"gbif",NA
"haageana",18.359167,-97.514722,"gbif",NA
"haageana",18.344167,-97.518889,"gbif",NA
"haageana",18.349167,-97.521111,"gbif",NA
"haageana",18.356944,-97.515,"gbif",NA
"haageana",18.740833,-97.620278,"gbif",NA
"haageana",18.8,-97.5075,"gbif",NA
"haageana",18.163056,-97.263889,"gbif",NA
"haageana",17.850556,-97.023056,"gbif",NA
"haageana",18.23,-97.152222,"gbif",NA
"haageana",18.411667,-97.429167,"gbif",NA
"haageana",17.82216,-97.79655,"gbif",NA
"haageana",19.476111,-97.362778,"gbif",NA
"haageana",17.833333,-97.55,"gbif",NA
"haageana",18.733333,-97.433333,"gbif",NA
"haageana",17.65,-97.483333,"gbif",NA
"haageana",18.7,-97.45,"gbif",NA
"haageana",18.716667,-99.1,"gbif",NA
"haageana",17.766667,-97.75,"gbif",NA
"haageana",17.716667,-97.666667,"gbif",NA
"haageana",18.133333,-97.133333,"gbif",NA
"haageana",17.7,-97.533333,"gbif",NA
"haageana",17.833333,-97.233333,"gbif",NA
"haageana",17.733333,-97.9,"gbif",NA
"haageana",18.25,-97.55,"gbif",NA
"haageana",18.333333,-97.5,"gbif",NA
"haageana",18.75,-97.416667,"gbif",NA
"haageana",18.85694,-97.70972,"gbif",NA
"albilanata",17.6068888888889,-98.5142694444444,"herbarios",NA
"albilanata",18.2576111111111,-99.24425,"herbarios",NA
"albilanata",17.113275,-99.5655222222222,"herbarios",NA
"albilanata",17.9658333333333,-98.4875,"herbarios",NA
"albilanata",16.8958555555556,-96.6983666666667,"herbarios",NA
"haageana",18.7258333333333,-97.2436111111111,"herbarios",NA
"haageana",17.7400833333333,-97.7089722222222,"herbarios",NA
"haageana",18.4875861111111,-97.9954416666667,"herbarios",NA
"haageana",17.3341666666667,-97.54975,"herbarios",NA
"haageana",19.3866666666667,-97.4077777777778,"herbarios",NA
"haageana",18.3061111111111,-97.5241666666667,"herbarios",NA
"haageana",18.3357777777778,-97.471275,"herbarios",NA
"haageana",18.6236666666667,-97.4625,"herbarios",NA
"haageana",18.3347222222222,-97.4575,"herbarios",NA
"haageana",17.57125,-97.1721388888889,"herbarios",NA
"albilanata",19.313985,-99.190316,"gbs","Jardin Botanico"
"albilanata",19.313985,-99.190316,"gbs","Espacio escultorico tejido"
"haageana",18.2133055555556,-97.6491388888889,"gbs","CC027"
"haageana",18.2133055555556,-97.6491388888889,"gbs","CC027"
"haageana",18.0843611111111,-97.6956388888889,"gbs","CC028"
"haageana",18.0843611111111,-97.6956388888889,"gbs","CC028"
"albilanata",17.4888055555556,-97.2167222222222,"gbs","CC033"
"albilanata",17.4888055555556,-97.2167222222222,"gbs","CC033"
"albilanata",17.4728055555556,-97.2078888888889,"gbs","CC034"
"albilanata",17.4728055555556,-97.2078888888889,"gbs","CC034"
"albilanata",17.4365,-97.0455,"gbs","CC035"
"albilanata",17.4365,-97.0455,"gbs","CC035"
"albilanata",17.45975,-97.1041666666667,"gbs","CC038"
"albilanata",17.45975,-97.1041666666667,"gbs","CC038"
"albilanata",17.2669166666667,-97.2948333333333,"gbs","CC039"
"albilanata",17.2669166666667,-97.2948333333333,"gbs","CC039"
"haageana",17.7289722222222,-97.7016111111111,"gbs","CC045"
"haageana",17.7289722222222,-97.7016111111111,"gbs","CC045"
"haageana",18.4473888888889,-97.4596111111111,"gbs","CC023"
"haageana",18.4473888888889,-97.4596111111111,"gbs","CC023"
"haageana",18.3333333333333,-97.4596111111111,"gbs","CC024"
"haageana",18.2556666666667,-97.4935,"gbs","CC025"
"haageana",18.2556666666667,-97.4935,"gbs","CC025"
"haageana",18.2879444444444,-97.5009722222222,"gbs","CC026"
"haageana",18.4021111111111,-97.4393888888889,"gbs","CC030"
"haageana",18.4021111111111,-97.4393888888889,"gbs","CC030"
"haageana",18.3870833333333,-97.4451388888889,"gbs","CC031"
"haageana",18.3870833333333,-97.4451388888889,"gbs","CC031"
"haageana",18.3578333333333,-97.4374444444445,"gbs","CC032"
"haageana",18.3578333333333,-97.4374444444445,"gbs","CC032"
"haageana",19.3877222222222,-97.4187777777778,"gbs","CC020"
"haageana",19.3877222222222,-97.4187777777778,"gbs","CC020"
"haageana",19.3877222222222,-97.4187777777778,"gbs","CC020"
